fid,id,timestamp,lat_raw,lon_raw,alt_raw,lat,lon,altitude,t_rel_sec
1,10,472678.940426,"-2.18053365,Lat","41.03558460,Lon","16.564,Ellh",-2.18053365,41.0355846,16.564,0
2,11,472679.192326,"-2.18053337,Lat","41.03558450,Lon","16.578,Ellh",-2.18053337,41.0355845,16.578,0.251900000032037
3,12,472679.207734,"-2.18053329,Lat","41.03558462,Lon","16.594,Ellh",-2.18053329,41.03558462,16.594,0.267308000009507
4,13,472679.222277,"-2.18053328,Lat","41.03558462,Lon","16.580,Ellh",-2.18053328,41.03558462,16.58,0.281851000036113
5,15,472679.236373,"-2.18053341,Lat","41.03558438,Lon","16.595,Ellh",-2.18053341,41.03558438,16.595,0.295947000035085
6,14,472679.251092,"-2.18053334,Lat","41.03558451,Lon","16.596,Ellh",-2.18053334,41.03558451,16.596,0.310666000004858
7,20,472679.625218,"-2.18053454,Lat","41.03558552,Lon","16.583,Ellh",-2.18053454,41.03558552,16.583,0.684791999985464
8,21,472679.879679,"-2.18053709,Lat","41.03558756,Lon","16.588,Ellh",-2.18053709,41.03558756,16.588,0.939253000018653
9,22,472679.895171,"-2.18053721,Lat","41.03558783,Lon","16.603,Ellh",-2.18053721,41.03558783,16.603,0.954744999995455
10,23,472679.90972,"-2.18053740,Lat","41.03558796,Lon","16.589,Ellh",-2.1805374,41.03558796,16.589,0.96929400000954
11,25,472679.923777,"-2.18053772,Lat","41.03558783,Lon","16.604,Ellh",-2.18053772,41.03558783,16.604,0.983351000002585
12,24,472679.938541,"-2.18053784,Lat","41.03558809,Lon","16.604,Ellh",-2.18053784,41.03558809,16.604,0.998115000023972
13,30,472681.148456,"-2.18056394,Lat","41.03560433,Lon","16.559,Ellh",-2.18056394,41.03560433,16.559,2.20803000003798
14,31,472681.400328,"-2.18056995,Lat","41.03560815,Lon","16.544,Ellh",-2.18056995,41.03560815,16.544,2.45990200003143
15,32,472681.415786,"-2.18057024,Lat","41.03560850,Lon","16.558,Ellh",-2.18057024,41.0356085,16.558,2.47536000004038
16,33,472681.430352,"-2.18057058,Lat","41.03560871,Lon","16.542,Ellh",-2.18057058,41.03560871,16.542,2.48992600000929
17,35,472681.444409,"-2.18057104,Lat","41.03560866,Lon","16.556,Ellh",-2.18057104,41.03560866,16.556,2.50398300000234
18,34,472681.459167,"-2.18057132,Lat","41.03560899,Lon","16.556,Ellh",-2.18057132,41.03560899,16.556,2.51874100003624
