filename,Footprint_Width_m,Footprint_Height_m,Area_m2,GSD_cm_px,MRK_to_Center_Offset_m
DJI_0010.JPG,28.89,41.11,1187.85,1.81,11.62
DJI_0020.JPG,28.93,41.16,1190.58,1.81,11.63
DJI_0030.JPG,28.88,41.1,1187.13,1.81,11.61
DJI_0040.JPG,29.04,41.32,1199.78,1.81,11.67
DJI_0050.JPG,29.39,41.82,1229.08,1.84,11.81
DJI_0060.JPG,29.34,41.75,1225.0,1.83,11.8
DJI_0070.JPG,29.49,41.96,1237.41,1.84,11.85
DJI_0080.JPG,29.92,42.57,1273.38,1.87,12.03
DJI_0090.JPG,29.7,42.26,1255.18,1.86,11.94
DJI_0100.JPG,29.12,41.43,1206.28,1.82,11.7
DJI_0110.JPG,28.85,41.05,1184.12,1.8,11.6
DJI_0120.JPG,28.85,41.05,1184.55,1.8,11.6
DJI_0130.JPG,28.81,40.99,1180.69,1.8,11.58
DJI_0140.JPG,28.83,41.02,1182.83,1.8,11.59
DJI_0150.JPG,28.8,40.98,1180.55,1.8,11.58
DJI_0160.JPG,28.78,40.95,1178.83,1.8,11.57
DJI_0170.JPG,28.78,40.95,1178.26,1.8,11.57
DJI_0180.JPG,27.55,39.2,1079.84,1.72,11.07
DJI_0190.JPG,27.04,38.48,1040.41,1.69,10.87
DJI_0200.JPG,27.5,39.13,1076.02,1.72,11.05
DJI_0210.JPG,27.91,39.72,1108.61,1.74,11.22
DJI_0220.JPG,28.26,40.2,1135.94,1.77,11.36
DJI_0230.JPG,28.53,40.59,1157.92,1.78,11.47
DJI_0240.JPG,28.45,40.48,1151.7,1.78,11.44
DJI_0250.JPG,28.37,40.37,1145.35,1.77,11.41
DJI_0270.JPG,28.3,40.26,1139.16,1.77,11.37
DJI_0280.JPG,28.16,40.07,1128.37,1.76,11.32
DJI_0290.JPG,28.29,40.26,1139.02,1.77,11.37
DJI_0300.JPG,28.43,40.45,1150.15,1.78,11.43
DJI_0310.JPG,28.55,40.63,1160.05,1.78,11.48
DJI_0320.JPG,28.57,40.64,1161.04,1.79,11.48
DJI_0330.JPG,28.63,40.73,1166.01,1.79,11.51
DJI_0340.JPG,28.18,40.1,1130.19,1.76,11.33
DJI_0350.JPG,27.99,39.82,1114.58,1.75,11.25
DJI_0360.JPG,27.9,39.69,1107.36,1.74,11.21
DJI_0370.JPG,27.8,39.55,1099.49,1.74,11.17
